,description,id,created_on,status,project,author,subject,cliente
48,Cliente deseja que seja incluso o campo NCM na ordem de serviço da WHB,8603,2/12/2020,Fechada,Suporte Técnico,Ana,Inclusão de campo na O.s,RG LOCAÇÃO DE EMPILHADEIRAS LTDA
49,Cliente solicitou auxilio com nota de devolução de IPI,9552,24/2/2021,Fechada,Suporte Técnico,Elaine,Auxilio nota complemento de IPI,DDN CONFECCOES
50,"ao clicar para enviar a nota fica em branco
!pr.png!

sistema estava na versão V20.05, atualizei para a v20.06 e também nao deu certo",7101,29/6/2020,Fechada,Suporte Técnico,Ana,Notas esta saindo em branco,PARANA MATERIAIS HIDRAULICOS
51,CLiente alterou o ip e solicitou ajuste do caminho,9555,24/2/2021,Fechada,Suporte Técnico,Elaine,Ajustar caminho do sistema,SANDIPEL COM.DE SUP.MAQ.E ASS.TECNICA LTDA
52,Ao gerar a NFE falha no schema do xml,9554,24/2/2021,Fechada,Suporte Técnico,Ana,falha no schema do xml,TOP SURGICAL
53,Ao enviar a nota fiscal apresentou a rejeição de que a cfop informada não esta referenciada,8605,2/12/2020,Fechada,Suporte Técnico,Ana,Rejeição de NFE,DC TECH IMP. EXP. MÁQUINAS  E EQUIPAMENTOS LTDA
54,Solicitada a reinicialização do NFE,7911,13/10/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
55,Mensagem de Servico Paralisado Momentaneamente (curto prazo) ao emitir a nota,7861,8/10/2020,Fechada,Suporte Técnico,Elaine,Erro na emissão da Nota,REALMAD CR3
56,"Cliente não conseguia fazer a emissão da nota, sistema apresentou mensagem de duplicidade.",7912,13/10/2020,Fechada,Suporte Técnico,Elaine,Mensagem de Duplicidade,SPINE7
57,Ao efetuar devolução cliente não conseguia fazer valores baterem com a entrada,8604,2/12/2020,Fechada,Suporte Técnico,Elaine,Nota de devolução - Valores não batem com nota de entrada,SANDIPEL COM.DE SUP.MAQ.E ASS.TECNICA LTDA
58,"Cst, %ICMS e valor total não bate com a nota de entrada emitida pelo fornecedor ao fazer a devolução",8599,2/12/2020,Fechada,Suporte Técnico,Elaine,Ajuste nos valores da nota de devolução,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
59,Cliente solicita código de acesso,7913,14/10/2020,Fechada,Suporte Técnico,Elaine,Código de acesso,RA BRITAGEM LTDA. - INCOMEQ
60,Solicitada reinicialização do NFe,7914,14/10/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
61,Cliente solicitou a troca do certifica ,8606,3/12/2020,Fechada,Suporte Técnico,Elaine,Trocar certificado Herotech,SANDIPEL COM.DE SUP.MAQ.E ASS.TECNICA LTDA
62,Solicitada a reinicialização do MasterNfe,7916,14/10/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
63,Sistema apresentando mensagem de liberação,7917,14/10/2020,Fechada,Suporte Técnico,Elaine,Liberação de acesso,ULTRATHERM
64,Solicitada reinicialização do MasterNfe,7918,14/10/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
65,Preciso ver contigo sobre um erro que não estou conseguindo arrumar Pra faturar uma nota para a transportadora Da falha no XML do lote nfe,7915,14/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,BRO ORTOPEDIA
66,Cliente relatou que esta apresentado erro ao gerar a nota fiscal,7862,8/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,OSMAR MOTORES
67,Ao realizar a baixa de qualquer titulo está apresentando erro,9180,28/1/2021,Fechada,Suporte Técnico,Ana,Erro na Baixa de Boletos,IMPLANEWS - BETHA IMPLANTES
68,"Ao enviar a nota apresenta "" serviço paralizado""",7863,8/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,CHIMARRÃO DONA DOCA
69,"Cliente estava gerando a nfe e apresentou erro de ""CNPJ DO DESTINATARIO NAO CADASTRADO""",7859,8/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,RG LOCAÇÃO DE EMPILHADEIRAS LTDA
70,Nota com mensagem de erro ao emitir,7919,14/10/2020,Fechada,Suporte Técnico,Elaine,Erro na emissão da Nota,BLEZ INTERIORE
71,"aqui na empresa não estamos usando controle de estoque, tem como eu desativar ? Pq toda vez que vou encerrar uma OS ou então emitir  alguma nota da falta de disponibilidade do produto",8610,3/12/2020,Fechada,Suporte Técnico,Ana,Duvida estoque,ALTAMAQ EMPILHADEIRAS
72,Solicitada a reinicialização do MasterNfe,7921,14/10/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
73,Renovação do certificado com vencimento em 2021,7920,14/10/2020,Fechada,Suporte Técnico,Ana,Renovação Certificado,EATFIT
74,Cliente pegou a cfop e precisa emitir a nota de ajuste,7104,29/6/2020,Fechada,Suporte Técnico,Ana,Nota fiscal de Ajuste,DDN CONFECCOES
75,Cliente entrou em contato pois não estava conseguindo logar no sistema com um dos usuários ,8608,3/12/2020,Fechada,Suporte Técnico,Ana,Usuario sumiu,PINHAO MOTO SERRAS
76,Atualizado o novo certificado na pasta,7922,14/10/2020,Fechada,Suporte Técnico,Ana,Atualização de certificado,MERCADO BOITANICO
77,Ao gerar a nota apresentou erro de duplicidade,9181,28/1/2021,Fechada,Suporte Técnico,Ana,Duplicidade de Nota ,FRUTARIA BATEIAS
78,"Precisamos dar o prazo para a importação das tabelas abaixo, as quais virão em Excel, para que seja feita a programação para a implantação em nova loja da Pegaza, do Boqueirão!

Planilhas a serem importadas: clientes, fornecedores e vendedores. (o layout será o mesmo para as 3)

O cadastro de produtos será o mesmo utilizado na loja do Centenário. (precisa ser previsto a cópia dele e suas tabelas correlatas)

Lembrete: a partir do momento da implantação, será cobreada a LDU e inicia a manutenção.",7094,29/6/2020,Fechada,Suporte Técnico,Wilson,Prazo para importação,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
79,"Ao enviar a nota fiscal a receita estava retornando com a seguinte mensagem ""Aliquota interestadual do ICMS com origem diferente do previsto. [nItem:7]",8612,3/12/2020,Fechada,Suporte Técnico,Ana,Rejeição de NFE,PHARMATEX COMERCIAL DE PRODUTOS HOSPITALARES
80,Nota com mensagem de duplicidade ao emitir para a receita,8613,3/12/2020,Fechada,Suporte Técnico,Elaine,Mensagem de Duplicidade ao emitir Nf,LOPLAST DISTRIBUIDORA DE EMBALAGENS LTDA
81,"Cliente entrou em contato comentando sobre uma dúvida de como seria mais viável e pratico manter as diversas tabelas de preços atualizadas, tendo em vista que tem receio de não acompanhar as mudanças de custos. Ele pensou até em deixar para atualizar automaticamente.",9676,4/3/2021,Fechada,Suporte Técnico,Cleverson,Sugestão para melhor trabalhar com as atualizações de tabelas de preços de vendas,GDS - GESSO E DECORACOES
82,Apos atualizar não conseguimos salvar os pedidos poderia verificar,9675,4/3/2021,Fechada,Suporte Técnico,Ana,Erro ao imprimir pedido de venda,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
83,repassado para o Wellington o script do ibpt atualizado,7106,29/6/2020,Fechada,Suporte Técnico,Ana,ajuste de NCM,MICRO SYSTEM - WELLINGTON GENAR FELICIANO / CARLOS
84,Cliente gostaria de um relatório de produtos tanto dos faturados como o de estoque ,9673,4/3/2021,Fechada,Suporte Técnico,Ana,Relatório Produto ,BIOCRYSTAL
85,Nao esta enviando NF,7107,29/6/2020,Fechada,Suporte Técnico,Ana,Nao esta enviando NF,DEMABI
86,Solicitada reinicialização do Masternfe,8607,3/12/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
87,Solicitada reinicialização do Masternfe,8609,3/12/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
88,Cliente acessa sistema pela VPN e sistema apresenta mensagem de erro: Forçado cancelamento de uma conexão existente pelo host remoto.,8611,3/12/2020,Fechada,Suporte Técnico,Elaine,Mensagem de erro ao acessar via TS,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
89,Cliente nao estava conseguindo enviar o xml para a contabilidade,9678,4/3/2021,Fechada,Suporte Técnico,Ana,Não esta enviando email,SUPER CARGA
90,ao emitir uma nfe esta apresentando a mensagem do CBENEF,7105,29/6/2020,Fechada,Suporte Técnico,Ana,erro na emissao de nota,COPAVES - FRANGOS CANCAO
91,"Ao gerar a nota fiscal, estava apresentando que o produto de id 0 e cod. fabricante 7898438036707, estava com o estoque zerado",8615,3/12/2020,Fechada,Suporte Técnico,Ana,Erro na tela de nota fiscal,LINHACO
92,Não estou conseguindo realizar o comentários no cadastro da entidades,9679,4/3/2021,Fechada,Suporte Técnico,Ana,Liberação de Acesso,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
93,cliente formatou a maquina e precisa ajustar o sistema,7102,29/6/2020,Fechada,Suporte Técnico,Ana,Ajustar o sistema,VALLE GAS
94,"Cliente vai começar a emitir as notas pelo sistema, ajustar o numero para 162 ",7108,29/6/2020,Fechada,Suporte Técnico,Ana,Ajustar o numero da ultima nota fiscal,IMPLANEWS SURGICAL
95,Ajuste de Layout de Pedido,7869,8/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de Layout de Pedido,LOUSART
96,"Cliente entrou em contato relatando que necessitava fazer o envio das documentações para homologação da empresa e do sistema junto a Anvisa e demais instituições municipais e queria saber se tínhamos algo pronto. Foi entrado então em contato com Responsáveis Técnicos e visto o procedimento, e notado que cada município e cada Fiscal podem ter particularidades, mas que o padrão comum é usar o ""POP"" e depois disso analisar o que cada fiscal pede, pois pode ser algo presencial e pedem para ver o processo no sistema ou outras formas que ai depende do Fiscal. Repassado a eles essa informação para o usuário bem como um modelo de POP que está em anexo.",7923,14/10/2020,Fechada,Suporte Técnico,Cleverson,Auxilio quanto a homologação do sistema junto a Anvisa e órgãos oficiais,PRIDE MEDICAL COM. DE INST. E MAT. MÉDICOS LTDA
97,Cliente solicitou ajuste novamente na tela de entidades,9680,4/3/2021,Fechada,Suporte Técnico,Elaine,Permissão da Tela de Entidade,LINHACO
98,"Cliente tinha varias duvidas quanto a entrada de mercadoria por xml, como realizar a vinculação dos itens, como cadastrar os produtos novos",7924,14/10/2020,Fechada,Suporte Técnico,Ana,auxilio para nota de entrada,TITANIUM
99,"lembra que esses dias eu não estava conseguindo emitir uma nota de umas brocas para um hospital?, que estava puxando imposto estou com essa mesma situação, e eu não me lembro o que que tinha acontecido vc pode verificar?",8616,3/12/2020,Fechada,Suporte Técnico,Ana,auxilio  nota fiscal,MEDICA BRASIL
100,"Poderia me ajudar a localizar umas notas de 2011 para um cliente
",9681,4/3/2021,Fechada,Suporte Técnico,Ana,Localizar algumas nota,MADECO
101,Reinstalação do Sistema,7925,14/10/2020,Fechada,Suporte Técnico,Ana,Reinstalação do Sistema,SUPRIMED COMÉRCIO DE MATERIAIS HOSPITALARES LTDA.
102,"Cliente relatou ter uma nota faturada no dia 26/06 que não estava constando no contas a receber, conectei e verifiquei que na verdade foi emitida no dia 25 então filtrando pelo dia 26 não apresentava no contas a receber mesmo, alteramos o vencimento da nota pois estava incorreto e atendimento finalizado.",7111,30/6/2020,Fechada,Suporte Técnico,Enghel,Dúvidas no conta a receber,GDS - GESSO E DECORACOES
103,"Cliente estava fazendo uma carta de correção e apresentava a mensagem de duplicidade então expliquei o processo de alterar o sequencial e enviar novamente.

Atendimento finalizado.",7112,30/6/2020,Fechada,Suporte Técnico,Enghel,Duplicidade carta de correção,ENGISA INSPEÇÃO E PESQUISA APLICADA A INDUSTRIA LTDA
104,"Estou enviando uma nfe e ele duplica a nota,  Aí não autoriza nenhuma",8618,3/12/2020,Fechada,Suporte Técnico,Ana,Duplicidade de Nota ,DDN CONFECCOES
105,"Boa tarde Ana tudo bem, ontem a gente fez a simulação do acerto de estoque e hoje não esta dando certo, vou no item clico em movimento depois acerto de estoque só que ela vai para outra tela não permitindo que eu faça a alteração",8619,3/12/2020,Fechada,Suporte Técnico,Ana,Duvida acerto de estoque ,FIXAR IND.COM.KITS AR CONDICIONADO LTDA
106,"A uns dias atrás cliente cliente perdeu a base de dados que estava num notebook. ajustamos para a base do dia 10/11, mas a ela estava com duvida em relação as notas de entrada deste periodo",8614,3/12/2020,Fechada,Suporte Técnico,Ana,Duvida,TITANIUM
107,"Cliente precisava dar entrada em alguns produtos por xml porém estava ao dar entradas os produtos estavam com cod fabricante diferente dos quais ela tem cadastrada por que quando foi dar entrada a primeira vez ela atualizou o fornecedor que provavelmente tinha outros cod fabricante, então quando ia informar os produtos numa nfe não dava certo os cod fabricante pois foi alterado então duplicamos transformando numa nfc e então ela tiraria os produtos que não queria faturar, caso esse método fosse muito complicado expliquei que poderia emitir uma nfe do zero mas ai informando os produto pela descrição.

Atendimento finalizado.",7113,30/6/2020,Fechada,Suporte Técnico,Enghel,Nota de entrada,MAGARI FASHION COMERCIO DE VESTUARIO LTDA
108,"Tem uma nfe que apresenta a seguinte mensagem quando vou estornar ""Essa nota esta com resposta pendente do master-nfe",8621,3/12/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,MATERCONS CURITIBA
109,"[24/02/2021] Wilson Mengarda: A empresa Osmar Motores ligou para mim, Felipe, querendo cancelar o sistema devido a não operacionalização do mesmo. Falei com o Felipe e pedi para a Elaine verificar o que estava acontecendo, pois ele disse que a Ana estava fazendo vários atendimentos mas não resolvia! A Elaine me passou que eles não estavam conseguindo imprimir pedidos, etc e que algumas máquinas não acessavam o sistema e que o Felipe não permitia que ela conectasse",9557,24/2/2021,Fechada,Suporte Técnico,Cleverson,Visita técnica,OSMAR MOTORES
110,atalho nao esta abrindo,7114,30/6/2020,Fechada,Suporte Técnico,Ana,atalho nao esta abrindo,GS MOVEIS DE VIME LTDA
111,ao emitir a nota esta dando a contagem e nao envia,7115,30/6/2020,Fechada,Suporte Técnico,Ana,Nao esta enviando NF,ORTONORTE ORTESE E PROTESE LTDA
112,"Cliente entrou em contato relatando que necessitava fazer uma nota de devolução de compra e gostaria de saber como o sistema tratava esse procedimento, então foi explicado sobre a rotina e também as configurações dentro da natureza de operação CFOP quanto a marcação do tipo de devolução. Cliente conferiu o seu cadastro e comentou que vai validar algumas informações sobre mensagens que necessita para nota junto a seu contador e na sequencia irá gerar a nota.",7927,14/10/2020,Fechada,Suporte Técnico,Cleverson,Instrução sobre configuração de CFOP de devolução,TOP SURGICAL
113,CLiente entrou em contato que a nota que foi emitida ontem de ajuste acabou gerando icms,7117,30/6/2020,Fechada,Suporte Técnico,Ana,Nota fiscal de Ajuste,DDN CONFECCOES
114,Ao enviar a nota estava apresentando erro de ncm ,8625,3/12/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,TOP SURGICAL
115,A maquina do Ramiro esta perdendo o executável do sistema,9553,24/2/2021,Fechada,Suporte Técnico,Ana,Ajuste de atalho,RGM
116,precisava da senha do acesso a prefeitura pois a contabilidade esta me pedindo,7119,30/6/2020,Fechada,Suporte Técnico,Ana,Nota de serviço,COSTRANS EMPILHADEIRAS
117,Auxilio para emissão de nota ,9558,24/2/2021,Fechada,Suporte Técnico,Ana,auxilio  nota fiscal,TITANIUM
118,cliente estava consultando a nf na receita e estava dando como inexistente,7120,30/6/2020,Fechada,Suporte Técnico,Ana,nota fiscal xml nao encontrado,PARANA INDUSTRIA DE PAPEIS UNIDADE II LTDA.- ME
119,"Precisamos enviar uma nota de serviço e aparece a mensagem ""não processado",7928,14/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota de serviço,DEMABI
120,Cliente entrou em contato perguntando como enviar um kit via sistema,8626,3/12/2020,Fechada,Suporte Técnico,Ana,Duvida envio de kit,IMPLANEWS SURGICAL
121,é a primeira vez que a cliente vai emitir nota fiscal pelo sistema e é nova na empresa,7118,30/6/2020,Fechada,Suporte Técnico,Ana,Auxilio para emissao de nota fiscal,IMPLANEWS SURGICAL
122,Auxilio para emissao de nota de troca,7121,30/6/2020,Fechada,Suporte Técnico,Ana,Auxilio para emissao de nota de troca,MEGAMAX AMBIENTES
123,Preciso enviar para a contabilidade o relatório de faturamento das notas fiscais do mes 11,8624,3/12/2020,Fechada,Suporte Técnico,Ana,Relatório de Faturamento,MATERIAIS DE CONSTRUCAO AFONSO PENA
124,Solicitada reinicialização do MasterNfe,7929,14/10/2020,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
125,Cliente relata que a devolução de mercadoria parcial esta somando o valor integral do icms ,7122,30/6/2020,Fechada,Suporte Técnico,Ana,Devolução de venda,MICRO SYSTEM - WELLINGTON GENAR FELICIANO / CARLOS
126,cliente gostaria de auxilio para emissao de nota de devolução,7116,30/6/2020,Fechada,Suporte Técnico,Ana,Auxilio para emissao de devolução,OSMAR MOTORES
127,"Esta apresentando erro para enviar a not
Falha no Schema XML do lote de NFe. org.xml.sax.SAXParseException; lineNumber: 1; columnNumber: 1175; cvc-pattern-valid: Value """" is not facet-valid with respect to pattern ""[!-ÿ]{1}[ -ÿ]{0,}[!-ÿ]{1}|[!-ÿ]{1}"" for type ""#AnonType_xBairroTEndereco"".",7930,14/10/2020,Fechada,Suporte Técnico,Ana,Erro no envio de Nota,PROFFIX COMERCIO DE EQUIPAMENTO MÉDICOS E HOSPITALARES LTDA
